Wipro,https://www.wipro.com/,https://www.wipro.com/contact-wipro/,,+91 80 46827999,"Doddakannelli, Sarjapur Road, Bengaluru 560035, India",https://www.linkedin.com/company/wipro,,
Tata Consultancy Services (TCS),https://www.tcs.com/,,,+91 22 67789595,"TCS House, Raveline St, Fort, Mumbai 400001, India",https://www.linkedin.com/company/tata-consultancy-services,,
Cognizant,https://www.cognizant.com/,https://www.cognizant.com/us/en/contact-us/,,+1 201-801-0233,"500 Frank W. Burr Blvd, Teaneck, NJ 07666, USA",https://www.linkedin.com/company/cognizant,,
Tech Mahindra,https://www.techmahindra.com/,https://www.techmahindra.com/en-in/contact-us/,,+91 20 66018100,"Sharda Centre, Off Karve Rd, Pune, Maharashtra 411004, India",https://www.linkedin.com/company/tech-mahindra,,
Capgemini,https://www.capgemini.com/,https://www.capgemini.com/contact-us/,,+33 1 47 54 50 00,"11 Rue de Tilsitt, 75017 Paris, France",https://www.linkedin.com/company/capgemini,,
NTT Data,https://www.nttdata.com/,https://www.nttdata.com/global/en/contact-us/,,+81 3 5546 8202,"Toyosu Center Bldg, 3-3-3 Toyosu, Koto-ku, Tokyo 135-6033, Japan",https://www.linkedin.com/company/ntt-data,,
NTT Ltd,https://services.global.ntt/,https://services.global.ntt/en-us/contact-us/,,+44 330 588 7000,"2nd Floor, 1 King William Street, London EC4N 7AR, United Kingdom",https://www.linkedin.com/company/global-ntt,,
DXC Technology,https://dxc.com/,https://dxc.com/us/en/contact,,+1 703-245-9675,"1775 Tysons Blvd, Tysons, VA 22102, USA",https://www.linkedin.com/company/dxc-technology,,
Kyndryl,https://www.kyndryl.com/,https://www.kyndryl.com/us/en/contact-us/,,+1 212-896-2098,"1 Vanderbilt Ave, 15th Floor, New York, NY 10017, USA",https://www.linkedin.com/company/kyndryl,,
Orange Business Services,https://www.orange-business.com/,https://www.orange-business.com/en/contact,,+33 1 44 44 22 22,"111 Quai du Président Roosevelt, 92130 Issy-les-Moulineaux, France",https://www.linkedin.com/company/orange-business,,
BT (British Telecom),https://www.bt.com/,https://business.bt.com/contact-us/,,+44 20 7356 5000,"1 Braham Street, London E1 8EE, United Kingdom",https://www.linkedin.com/company/bt,,
Rackspace Technology,https://www.rackspace.com/,https://www.rackspace.com/about/contact-us/,,+1 210-312-4000,"1 Fanatical Place, Windcrest, San Antonio, TX 78218, USA",https://www.linkedin.com/company/rackspace-technology,,
All Covered (Konica Minolta),https://www.allcovered.com/,https://www.allcovered.com/contact-us/,,201-825-4000,"100 Williams Drive, Ramsey, NJ 07446, USA",https://www.linkedin.com/company/all-covered,,
OneNeck IT Solutions,https://www.oneneck.com/,https://www.oneneck.com/contact/,,608-664-4428,"525 Junction Rd, Madison, WI 53717, USA",https://www.linkedin.com/company/oneneck-it-solutions,,
Presidio,https://www.presidio.com/,https://www.presidio.com/contact-us/,,+1 212-652-5700,"1 Pennsylvania Plaza, New York, NY 10119, USA",https://www.linkedin.com/company/presidio,,
Softchoice,https://www.softchoice.com/,https://www.softchoice.com/about/locations/,,+1 416-588-9002,"173 Dufferin St, Suite 200, Toronto, ON M6K 3H7, Canada",https://www.linkedin.com/company/softchoice,,
Long View Systems,https://www.longviewsystems.com/,https://www.longviewsystems.com/contact/,,+1 403-515-6900,"144 4 Ave SW, Suite 2100, Calgary, AB T2P 3N4, Canada",https://www.linkedin.com/company/long-view-systems,,
Deloitte,https://www.deloitte.com/,https://www.deloitte.com/global/en/footer/contact-us.html,,+44 20 7936 3000,"1 New Street Square, London EC4A 3HQ, United Kingdom",https://www.linkedin.com/company/deloitte,,
IBM,https://www.ibm.com/,https://www.ibm.com/contact/global,,+1 800-426-4968,"1 New Orchard Road, Armonk, NY 10504, USA",https://www.linkedin.com/company/ibm,,
Navisite,https://www.navisite.com/,https://www.navisite.com/contact/,,+1 978-682-8300,"400 Minuteman Rd, Andover, MA 01810, USA",https://www.linkedin.com/company/navisite,,
TierPoint,https://www.tierpoint.com/,https://www.tierpoint.com/contact-us/,,+1 972-364-5700,"12444 Powerscourt Dr, Suite 450, St. Louis, MO 63131, USA",https://www.linkedin.com/company/tierpoint,,
Expedient,https://www.expedient.com/,https://www.expedient.com/contact/,,+1 877-570-7827,"1 Allegheny Square, Suite 600, Pittsburgh, PA 15212, USA",https://www.linkedin.com/company/expedient,,
2nd Watch,https://www.2ndwatch.com/,https://www.2ndwatch.com/contact-us/,,+1 888-317-7920,"2101 4th Ave, Suite 2100, Seattle, WA 98121, USA",https://www.linkedin.com/company/2nd-watch,,
CDW Corporation,https://www.cdw.com/,https://www.cdw.com/content/cdw/en/about/contact.html,,+1 847-465-6000,"75 Tri-State Intl, Lincolnshire, IL 60069, USA",https://www.linkedin.com/company/cdw,,
Insight Enterprises,https://www.insight.com/,https://www.insight.com/en_US/contact-us.html,,+1 800-467-4448,"6820 S Harl Ave, Tempe, AZ 85283, USA",https://www.linkedin.com/company/insight-enterprises,,
World Wide Technology,https://www.wwt.com/,https://www.wwt.com/contact-us/,,+1 314-569-7000,"1 World Wide Way, St. Louis, MO 63146, USA",https://www.linkedin.com/company/world-wide-technology,,
MicroAge,https://www.microage.com/,https://www.microage.com/contact/,,+1 800-544-8877,"Phoenix, AZ, USA",https://www.linkedin.com/company/microage,,
SHI International,https://www.shi.com/,https://www.shi.com/contact,,+1 888-764-8888,"290 Davidson Ave, Somerset, NJ 08873, USA",https://www.linkedin.com/company/shi,,
Zones,https://www.zones.com/,https://www.zones.com/site/statics/static_page.html?name=contact,,(253) 205-3000,"1102 15th St SW, Suite 102, Auburn, WA 98001, USA",https://www.linkedin.com/company/zones,,
Inetum (Gfi Informatique),https://www.inetum.com/,https://www.inetum.com/en/contact-us/,,+33 1 44 04 00 00,"145 Boulevard Victor Hugo, 93400 Saint-Ouen, France",https://www.linkedin.com/company/inetum,,
Sopra Steria,https://www.soprasteria.com/,https://www.soprasteria.com/en/contact,,+33 1 40 67 29 29,"6 Avenue Kleber, 75116 Paris, France",https://www.linkedin.com/company/sopra-steria,,
Devoteam,https://www.devoteam.com/,https://www.devoteam.com/contact/,,+33 1 41 49 48 48,"73 Rue Anatole France, 92300 Levallois-Perret, France",https://www.linkedin.com/company/devoteam,,
Indra (Minsait),https://www.indracompany.com/,https://www.indracompany.com/en/contact-us,,+34 91 480 5000,"Avenida de Bruselas, 35, Alcobendas, 28108 Madrid, Spain",https://www.linkedin.com/company/indra,,
Leidos,https://www.leidos.com/,https://www.leidos.com/company/global/locations,,+1 571-526-6000,"1750 Presidents St, Reston, VA 20190, USA",https://www.linkedin.com/company/leidos,,
LTIMindtree,https://www.ltimindtree.com/,https://www.ltimindtree.com/get-in-touch/,,+91 22 6776 6776,"L&T Business Park, Gate 5, Saki Vihar Rd, Mumbai 400072, India",https://www.linkedin.com/company/ltimindtree,,
Hexaware Technologies,https://www.hexaware.com/,https://hexaware.com/contact-us/,,+91 22 4159 9595,"152, Millennium Business Park, Navi Mumbai 400710, India",https://www.linkedin.com/company/hexaware-technologies,,
Coforge,https://www.coforge.com/,https://www.coforge.com/contact-us/,,+91 120 401 9100,"8 Balaji Estate, Guru Ravi Das Marg, Kalkaji, New Delhi 110019, India",https://www.linkedin.com/company/coforge,,
TPx Communications,https://www.tpx.com/,https://www.tpx.com/contact-us/,,+1 888-407-9594,"515 S Flower St, 45th Floor, Los Angeles, CA 90071, USA",https://www.linkedin.com/company/tpx-comms,,
Agilant Solutions,https://www.goagilant.com/,https://www.goagilant.com/contact/,,+1 718-502-6100,"3 Seaview Blvd, Port Washington, NY 11050, USA",https://www.linkedin.com/company/agilant-solutions,,
Abacus Group,https://abacus.co/,https://abacus.co/contact/,,+1 866-888-1943,"655 Third Avenue, 8th Floor, New York, NY 10017, USA",https://www.linkedin.com/company/abacusgroup,,
Advizex,https://advizex.com/,https://advizex.com/contact/,,+1 440-925-5600,"6480 Rockside Woods Blvd S, Suite 190, Cleveland, OH 44131, USA",https://www.linkedin.com/company/advizex,,
Accucode,https://www.accucode.com/,https://www.accucode.com/contact/,,+1 800-325-5426,"6886 S Yosemite St, Centennial, CO 80112, USA",https://www.linkedin.com/company/accucode,,
ePlus,https://www.eplus.com/,https://www.eplus.com/about/contact-us/,,+1 703-984-8400,"13595 Dulles Technology Dr, Herndon, VA 20171, USA",https://www.linkedin.com/company/eplus,,
Thrive,https://thrivenextgen.com/,https://thrivenextgen.com/contact-us/,,+1 866-205-2810,"500 Totten Pond Rd, 6th Floor, Waltham, MA 02451, USA",https://www.linkedin.com/company/thrive-networks,,
GreenPages,https://www.greenpages.com/,https://www.greenpages.com/contact-us/,,+1 800-989-2989,"33 Badgers Is, Portsmouth, NH 03801, USA",https://www.linkedin.com/company/greenpages,,
Converge Technology Solutions,https://convergetp.com/,https://convergetp.com/contact/,,+1 844-681-6787,"161 Bay St, Suite 2325, Toronto, ON M5J 2S1, Canada",https://www.linkedin.com/company/converge-tech,,
Crayon Group,https://www.crayon.com/,https://www.crayon.com/en/contact-us/,,+47 22 89 10 00,"Karenslyst Allé 2, 0278 Oslo, Norway",https://www.linkedin.com/company/crayon,,
Hitachi Vantara,https://www.hitachivantara.com/,https://www.hitachivantara.com/en-us/company/contact-us.html,,+1 408-970-1000,"2535 Augustine Dr, Santa Clara, CA 95054, USA",https://www.linkedin.com/company/hitachivantara,,
Unisys,https://www.unisys.com/,https://www.unisys.com/contact-us/,,+1 215-986-4011,"801 Lakeview Dr, Suite 100, Blue Bell, PA 19422, USA",https://www.linkedin.com/company/unisys,,
Xerox IT Services,https://www.xerox.com/,https://www.xerox.com/en-us/contact,,+1 800-275-9376,"201 Merritt 7, Norwalk, CT 06851, USA",https://www.linkedin.com/company/xerox,,
Ricoh (IT Services),https://www.ricoh-usa.com/,https://www.ricoh-usa.com/en/contact-us,,+1 973-882-2000,"300 Eagleview Blvd, Exton, PA 19341, USA",https://www.linkedin.com/company/ricoh-usa,,
Mphasis,https://www.mphasis.com/,https://www.mphasis.com/contact.html,,+1 212-652-6626,"460 Park Ave South, Suite 1101, New York, NY 10016, USA",https://www.linkedin.com/company/mphasis,,
